M,experiment,i,JGA,tPP,base,pm,lora,lora_alpha,DS,Y,neg
t,ResilientDooku,4,0.088,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
h,EmboldenedHapes,1,0.088,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
t,AudaciousWatto,6,0.085,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
t,CelestialWatto,4,0.085,,meta-llama/Llama-2-chat-hf,7b,2,16,100000,0.2,0.5
t,ResilientDooku,2,0.084,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
t,ResilientDooku,5,0.084,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
t,ResilientDooku,6,0.083,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
t,ResilientKanan,5,0.082,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,CelestialWatto,1,0.082,,meta-llama/Llama-2-chat-hf,7b,2,16,100000,0.2,0.5
h,EmboldenedHapes,2,0.082,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
h,VibrantKefBir,3,0.082,,meta-llama/Llama-2-chat-hf,13,1,8,100000,0.2,0.5
t,AstralKiAdi,3,0.082,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
h,DazzlingChirrut,5,0.081,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
t,FearlessLehon,3,0.080,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
t,ResilientKanan,6,0.079,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,AudaciousWatto,1,0.078,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
t,WiseReek,4,0.078,,meta-llama/Llama-2-chat-hf,7b,1,4,25000,0.2,0.5
h,VibrantKefBir,2,0.077,,meta-llama/Llama-2-chat-hf,13,1,8,100000,0.2,0.5
h,DazzlingChirrut,6,0.076,,meta-llama/Llama-2-chat-hf,13,8,16,100000,0.2,0.5
t,MythicalLehon,3,0.076,1.3634731819768304,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,MythicalLehon,2,0.075,1.4093630204279552,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,ResilientKanan,1,0.074,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,ElusiveGideon,4,0.074,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
t,SereneVardos,1,0.072,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
h,EmboldenedHapes,5,0.072,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
h,DashingQuarren,2,0.070,,meta-llama/Llama-2-chat-hf,13,1,4,100000,0.2,0.5
h,SpectralDroopy,4,0.069,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
t,ElusiveGideon,6,0.067,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
t,WiseReek,3,0.065,,meta-llama/Llama-2-chat-hf,7b,1,4,25000,0.2,0.5
h,EmboldenedHapes,6,0.063,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
t,IconicChewbacca,4,0.061,,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,ResilientDooku,1,0.060,,meta-llama/Llama-2-chat-hf,7b,8,16,100000,0.2,0.5
t,ElusiveGideon,3,0.060,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
h,DazzlingNute,1,0.056,,meta-llama/Llama-2-chat-hf,13,4,16,100000,0.2,0.5
t,RadiantYoda,6,0.054,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,SupernovaTeth,1,0.053,,meta-llama/Llama-2-chat-hf,7b,32,64,100000,0.2,0.5
t,RadiantYoda,5,0.051,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,RadiantYoda,4,0.047,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,TimelessNien,2,0.045,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
t,MajesticLeia,4,0.043,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,AstralKiAdi,2,0.041,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,MajesticLeia,5,0.039,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,FearlessLehon,1,0.038,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
t,MajesticLeia,6,0.038,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,IconicChewbacca,3,0.038,,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,RadiantYoda,3,0.034,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,WiseReek,2,0.028,,meta-llama/Llama-2-chat-hf,7b,1,4,25000,0.2,0.5
t,ElusiveGideon,2,0.026,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
t,MajesticLeia,3,0.023,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,MajesticLeia,2,0.021,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,RadiantYoda,2,0.017,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,WiseReek,1,0.0,,meta-llama/Llama-2-chat-hf,7b,1,4,25000,0.2,0.5
t,RadiantYoda,1,0.0,,meta-llama/Llama-2-chat-hf,7b,1,1,25000,0.2,0.5
t,MajesticLeia,1,0.0,,meta-llama/Llama-2-chat-hf,7b,1,2,25000,0.2,0.5
t,ElusiveGideon,1,0.0,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
t,AstralKiAdi,1,0.0,,meta-llama/Llama-2-chat-hf,13,32,64,100000,0.2,0.5
t,IconicChewbacca,1,0.0,,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,IconicChewbacca,2,0.0,,meta-llama/Llama-2-chat-hf,13,32,16,100000,0.2,0.5
t,TimelessNien,1,0.0,,meta-llama/Llama-2-chat-hf,13,64,128,100000,0.2,0.5
