experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
ExoticCrait,1,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
EnchantingNalHutta,0,h,BewitchingKashyyyk/5,13,32,nf4,256,128,6,3,Non,49.
DazzlingHapes,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingHapes,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,67.,44.
DazzlingDengar,21,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,20,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,19,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,18,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,17,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,16,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,15,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,14,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,13,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,12,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
DazzlingDengar,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,70.,41.
